"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Organization.Division.LongName","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.ProgramReference.Code.2","Award.ProgramReference.Text.2","Award.Investigator.FirstName.3","Award.ProgramElement.Code.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.3","Award.ProgramElement.Code.5","Award.ProgramElement.Text.4","Award.ProgramElement.Code.6","Award.ProgramElement.Text.5","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Code.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.ProgramElement.Code.19","Award.ProgramElement.Code.20","Award.ProgramElement.Code.21","Award.ProgramElement.Code.22","Award.ProgramElement.Code.23","Award.ProgramElement.Code.24","Award.ProgramElement.Code.25","Award.ProgramElement.Code.26","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.6"
"28",28,"Geochemical Study of Rocks of and Related to the Skaergaard Intrusion East Greenland","01/01/1974","12/31/1975",22500,"Standard Grant",6030002,"Directorate For Geosciences","name not available","01/02/1974","01/02/1974",7400158,"Wilfred","Bryan","01/01/1974","Co-Principal Investigator","University of Oregon Eugene","Eugene",974035219,5413465131,"5219 UNIVERSITY OF OREGON","United States","Oregon","OR","Division Of Earth Sciences",1541,"GEOCHEMISTRY","Gordon","Goles","01/01/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"Decision-Making Problems in Meteorology","01/01/1974","09/30/1978",64700,"Standard Grant",6020102,"Directorate For Geosciences","name not available","12/14/1973","04/14/1976",7400161,"Allan","Murphy","01/01/1974","Co-Principal Investigator","Indiana University","Bloomington",474013654,8128550516,"509 E 3RD ST","United States","Indiana","IN","Div Atmospheric & Geospace Sciences",1522,"PHYSICAL METEOROLOGY","Robert","Winkler","01/01/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"Analysis of Tropical Motion Systems","12/01/1973","05/31/1977",358000,"Continuing grant",6020107,"Directorate For Geosciences","name not available","11/15/1973","01/23/1976",7400162,"Michio","Yanai","12/01/1973","Principal Investigator","University of California-Los Angeles","LOS ANGELES",900951406,3107940102,"10889 Wilshire Boulevard","United States","California","CA","Div Atmospheric & Geospace Sciences",5730,"GLOBAL ATMOSPHERIC RESEARCH",NA,NA,NA,NA,8670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"Dynamics of Growth and Collisions at Ice Crystal Surfaces ANd at Nucleating Surfaces","12/01/1973","09/30/1976",30400,"Standard Grant",6020102,"Directorate For Geosciences","name not available","04/22/1975","04/22/1975",7400175,"Harold","Wachman","12/01/1973","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA","Div Atmospheric & Geospace Sciences",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"Video and Film Materials For Developing Better Public Understanding","06/01/1974","05/31/1977",69700,"Standard Grant",5000400,"Direct For Computer & Info Scie & Enginr","name not available","05/30/1974","01/05/1977",7400179,"William","Stringer","06/01/1974","Co-Principal Investigator","University of Alaska Fairbanks Campus","Fairbanks",997757880,9074747301,"West Ridge Research Bldg 008","United States","Alaska","AK","Direct For Computer & Info Scie & Enginr",5515,"INDUSTRIAL PROCESSING","T.","Davis","06/01/1974","Principal Investigator",7008,"PUBLIC UNDERSTAND SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"Functional Analysis","07/01/1974","12/31/1976",10200,"Standard Grant",3040103,"Direct For Mathematical & Physical Scien","name not available","07/01/1974","12/31/1975",7400186,"Gerhard","Kalisch","07/01/1974","Principal Investigator","University of California-Irvine","Irvine",926173213,9498247295,"141 Innovation Drive, Ste 250","United States","California","CA","Division Of Mathematical Sciences",1262,"MODERN ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"Functions of Several Complex Variables","11/01/1973","04/30/1978",26600,"Standard Grant",3040102,"Direct For Mathematical & Physical Scien","name not available","11/01/1973","10/09/1975",7400189,"Bernard","Shiffman","11/01/1973","Principal Investigator","Johns Hopkins University","Baltimore",212182608,4105168668,"3400 N CHARLES ST","United States","Maryland","MD","Division Of Mathematical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"Wave Motions of the Pillar Atmosphere","01/15/1974","09/30/1977",117600,"Standard Grant",6020102,"Directorate For Geosciences","name not available","01/14/1974","04/21/1976",7400197,"Bernhard","Haurwitz","01/15/1974","Principal Investigator","Colorado State University","Fort Collins",805232002,9704916355,"601 S Howes St","United States","Colorado","CO","Div Atmospheric & Geospace Sciences",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"Chloroplast Membrane Differentiation","02/01/1974","08/31/1977",105000,"Continuing grant",8070100,"Direct For Biological Sciences","name not available","02/01/1974","02/11/1976",7400209,"Roderic","Park","02/01/1974","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,5106428109,"Sponsored Projects Office","United States","California","CA","Div Of Molecular and Cellular Bioscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"Adrenal Steroids and Neural Mechanisms Underlying Behavior","05/15/1974","10/31/1977",70000,"Standard Grant",8030101,"Direct For Biological Sciences","name not available","05/08/1974","10/20/1976",7400217,"David","Micco","05/15/1974","Co-Principal Investigator","Rockefeller University","NEW YORK",100656399,2123278309,"1230 YORK AVENUE","United States","New York","NY","Division of Behavioral & Neural Sciences",NA,NA,"Bruce","McEwen","05/15/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"Control of Mitochondrial Adenine Nucleotide Carrier","03/01/1974","06/30/1980",99000,"Standard Grant",8070400,"Direct For Biological Sciences","name not available","03/14/1974","02/08/1980",7400223,"Frederic","Hoch","03/01/1974","Principal Investigator","University of Michigan Ann Arbor","Ann Arbor",481091274,7347636438,"3003 South State St. Room 1062","United States","Michigan","MI","Div Of Molecular and Cellular Bioscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"The Genetic and Biochemical Studies of Bacterial Sporulation","06/01/1974","11/30/1976",45000,"Standard Grant",8070100,"Direct For Biological Sciences","name not available","05/23/1974","05/23/1974",7400225,"Junetsu","Ito","06/01/1974","Principal Investigator","Scripps Clinic and Research Foundation","San Diego",92037,NA,NA,"United States","California","CA","Div Of Molecular and Cellular Bioscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"Studies on the Chromosomes of Sciara","01/01/1900","01/01/1900",21500,"Standard Grant",8070100,"Direct For Biological Sciences","name not available","07/15/1974","07/15/1974",7400230,"Helen","Crouse","01/01/1900","Principal Investigator","Florida State University","TALLAHASSEE",323064166,8506445260,"874 Traditions Way, 3rd Floor","United States","Florida","FL","Div Of Molecular and Cellular Bioscience",1112,"Genetic Mechanisms",NA,"DATA NOT AVAILABLE","01/01/1900","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"Biochemistry of Membrane Synthesis","01/01/1974","12/31/1975",42000,"Standard Grant",8070400,"Direct For Biological Sciences","name not available","12/21/1973","12/21/1973",7400232,"Guy","Thompson, Jr.","01/01/1974","Principal Investigator","University of Texas at Austin","Austin",787121532,5124716424,"101 E. 27th Street, Suite 5.300","United States","Texas","TX","Div Of Molecular and Cellular Bioscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"Study of Alaskan Wind Power and Its Possible Applications","05/01/1974","02/29/1976",0,"Standard Grant",7000000,"Directorate For Engineering","name not available",NA,NA,7400239,"Tunis","Wentink","05/01/1974","Principal Investigator","University of Alaska Fairbanks Campus","Fairbanks",997757880,9074747301,"West Ridge Research Bldg 008","United States","Alaska","AK","Directorate For Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"Solar Heating and Cooling For Buildings, Ocean Thermal Energy Conversion and Wind Energy Conversion","08/15/1973","01/31/1975",64400,"Interagency Agreement",7000000,"Directorate For Engineering","name not available","08/21/1973","05/23/1975",7400241,"Robert","Cohen","08/15/1973","Principal Investigator","NOAA Environmental Technology Laboratory","Boulder",803053337,3034976588,"325 Broadway","United States","Colorado","CO","Directorate For Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,"Preliminary Feasibilty Evaluation of Compressed Air Storage Peak Power Systems","06/01/1975","05/31/1977",353800,"Standard Grant",7000000,"Directorate For Engineering","name not available","05/30/1975","05/30/1975",7400242,"Albert","Giramonti","06/01/1975","Principal Investigator","United Technologies Research Ctr","East Hartford",6108,NA,NA,"United States","Connecticut","CT","Directorate For Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"Support For the R/V Eastward Program","01/01/1974","06/30/1976",500800,"Cooperative Agreement",6040200,"Directorate For Geosciences","name not available","01/01/1974","04/16/1976",7400244,"Richard","Barber","01/01/1974","Principal Investigator","Duke University","Durham",277054010,9196843030,"2200 W. Main St, Suite 710","United States","North Carolina","NC","Division Of Ocean Sciences",5410,"INTEGRATIVE SECTION RESERVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"Photoproduction of Pions From Complex Nuclei","03/01/1974","11/30/1976",74000,"Standard Grant",3010300,"Direct For Mathematical & Physical Scien","name not available","02/15/1974","05/12/1975",7400253,"Bernard","Chasan","03/01/1974","Co-Principal Investigator","Trustees of Boston University","BOSTON",22151300,6173534365,"881 COMMONWEALTH AVE","United States","Massachusetts","MA","Division Of Physics",NA,NA,"Edward","Booth","03/01/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"Improvements to Aeronomy and Solar-Terrestrial Scientific Facilities in Central Alaska","03/15/1974","07/31/1977",112400,"Standard Grant",6020203,"Directorate For Geosciences","name not available","03/14/1974","04/06/1977",7400269,"T.Neil","Davis","03/15/1974","Principal Investigator","University of Alaska Fairbanks Campus","Fairbanks",997757880,9074747301,"West Ridge Research Bldg 008","United States","Alaska","AK","Div Atmospheric & Geospace Sciences",1523,"SOLAR-TERRESTRIAL",NA,NA,NA,NA,1521,"AERONOMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,"Regulation of Dna Synthesis During Formation of Infection Structures By Rust Fungi","01/01/1974","11/19/1977",45500,"Standard Grant",8090300,"Direct For Biological Sciences","name not available","12/17/1973","05/19/1976",7400271,"Zohara","Yaniv","01/01/1974","Principal Investigator","Boyce Thompson Institute Plant Research","Ithaca",148531801,6072541248,"533 Tower Road","United States","New York","NY","Division Of Integrative Organismal Sys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"Developing New Cooperative Science Museum Programs","12/01/1973","07/31/1977",199500,"Standard Grant",5000400,"Direct For Computer & Info Scie & Enginr","name not available","12/28/1973","02/29/1980",7400273,"Lee","Kimche","12/01/1973","Principal Investigator","Association of Science-Technology Centers","Washington",200062734,2027837200,"818 Connecticut Ave NW, 7th Fl","United States","District of Columbia","DC","Direct For Computer & Info Scie & Enginr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"Transient Isotope Tracing of Heterogeneous Catalysis Systems","09/01/1973","07/31/1978",109300,"Standard Grant",7020000,"Directorate For Engineering","name not available","09/04/1973","02/23/1976",7400274,"John","Happel","09/01/1973","Principal Investigator","Columbia University","NEW YORK",100276902,2128546851,"2960 Broadway","United States","New York","NY","Div Of Chem, Bioeng, Env, & Transp Sys",1402,"BIOCHEMICAL & BIOMASS ENG","Huk","Cheh","09/01/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"Studies in the Foundations of Price and Non-Price Resource Allocation Processes","09/01/1973","03/31/1977",59700,"Continuing grant",4040600,"Direct For Social, Behav & Economic Scie","name not available","07/26/1973","10/01/1975",7400280,"Hugo","Sonnenschein","09/01/1973","Principal Investigator","Northwestern University","Evanston",602013149,8474913003,"1801 Maple Ave.","United States","Illinois","IL","Division Of Behavioral and Cognitive Sci",1320,"ECONOMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"Magnetic Resonance Studies of F-Electron Systems and OrganicMolecules in Triplet States","01/01/1974","06/30/1977",103700,"Continuing grant",3090105,"Direct For Mathematical & Physical Scien","name not available","01/14/1974","01/05/1976",7400300,"Clyde","Hutchison","01/01/1974","Principal Investigator","University of Chicago","Chicago",606375418,7737028669,"5801 South Ellis Avenue","United States","Illinois","IL","Division Of Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"Localization of Sodium Transport Sites in OsmoregulaTory Secretory and Reabsorptive Epithelia","03/01/1974","08/31/1976",0,"Standard Grant",8070400,"Direct For Biological Sciences","name not available",NA,NA,7400302,"Stephen","Ernst","03/01/1974","Principal Investigator","Temple University","PHILADELPHIA",191405104,2157077379,"3340 N. Broad Street","United States","Pennsylvania","PA","Div Of Molecular and Cellular Bioscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,"R/V Trident Ship Operations Support","12/01/1973","07/31/1977",2103600,"Standard Grant",6040200,"Directorate For Geosciences","name not available","12/05/1973","09/22/1976",7400312,"John","Knauss","12/01/1973","Principal Investigator","University of Rhode Island","KINGSTON",28811967,4018742635,"RESEARCH OFFICE","United States","Rhode Island","RI","Division Of Ocean Sciences",NA,NA,"Dana","Kester","12/01/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"Creep and Diffusion Coefficients in Solid Solutions","01/01/1974","06/30/1977",96300,"Standard Grant",3070200,"Direct For Mathematical & Physical Scien","name not available","01/10/1974","01/07/1976",7400320,"Thomas","Poulson","01/01/1974","Principal Investigator","Stanford University","Palo Alto",943041212,6507232300,"3160 Porter Drive","United States","California","CA","Division Of Materials Research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,"Carbon-13 Spin-Lattice Relaxation Studies","02/15/1974","07/31/1977",89800,"Continuing grant",3090106,"Direct For Mathematical & Physical Scien","name not available","03/01/1974","11/03/1976",7400332,"George","Levy","02/15/1974","Principal Investigator","Florida State University","TALLAHASSEE",323064166,8506445260,"874 Traditions Way, 3rd Floor","United States","Florida","FL","Division Of Chemistry",1916,"STRUCTURAL CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,"Perturbation and Variational Studies of Acoustic Waveguide Problems","01/01/1900","11/04/1978",127600,"Standard Grant",3030502,"Direct For Mathematical & Physical Scien","name not available","04/30/1974","05/04/1976",7400334,"Bertram","Auld","01/01/1900","Principal Investigator","Stanford University","Palo Alto",943041212,6507232300,"3160 Porter Drive","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
