"","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.EmailAddress","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.ProgramElement.Text.1","Award.Investigator.EmailAddress.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.EmailAddress.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.3","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.Investigator.FirstName.4","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.EmailAddress.3","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramElement.Code.5","Award.ProgramElement.Text.5","Award.ProgramElement.Code.6","Award.ProgramElement.Text.6","Award.ProgramElement.Code.7","Award.ProgramElement.Text.7","Award.ProgramElement.Code.8","Award.ProgramElement.Text.8","Award.ProgramElement.Code.9","Award.ProgramElement.Text.9","Award.ProgramElement.Code.10","Award.ProgramElement.Text.10","Award.ProgramElement.Code.11","Award.ProgramElement.Text.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.12","Award.ProgramElement.Code.13","Award.ProgramElement.Text.13","Award.ProgramElement.Code.14","Award.ProgramElement.Code.15","Award.ProgramElement.Code.16","Award.ProgramElement.Code.17","Award.ProgramElement.Code.18","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.FoaInformation.Code.4","Award.FoaInformation.Name.4"
"28","Prehistoric Cultures of the Siwa Oasis Region, Northwestern Egypt","06/01/1975","05/31/1977","26400","Standard Grant","04040400","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","03/05/1975","03/05/1975","7500222","Fekri","Hassan","06/01/1975","Principal Investigator","Wayne State University","Detroit","482023622","3135772424","5057 Woodward","United States","Michigan","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Conferences on Political Alienation","09/01/1974","11/30/1976","25100","Standard Grant","04040700","Direct For Social, Behav & Economic Scie","Division Of Behavioral and Cognitive Sci","name not available","08/20/1974","07/27/1976","7500236","Jack","Dennis","09/01/1974","Principal Investigator","University of Wisconsin-Madison","MADISON","537151218","6082623822","21 North Park Street","United States","Wisconsin","WI",NA,NA,"jdennis@polisci.wisc.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Universals of Grammatical Organization","05/15/1975","12/31/1977","35100","Standard Grant","08040103","Direct For Biological Sciences","Emerging Frontiers","name not available","02/06/1975","02/06/1975","7500244","Peter","Cole","05/15/1975","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN","618207473","2173332187","SUITE A","United States","Illinois","IL","Georgia","Green","pcole@udel.edu","05/15/1975","Co-Principal Investigator","1351","SPECIAL PROJECTS",NA,NA,"g-green@uiuc.edu","Jerry","Morgan","jlmorgan@uiuc.edu","05/15/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","The Quantitative Study of Linguistic Change and Variation","12/15/1974","09/30/1977","198000","Continuing grant","08040103","Direct For Biological Sciences","Emerging Frontiers","name not available","11/27/1974","05/03/1976","7500245","William","Labov","12/15/1974","Principal Investigator","University of Pennsylvania","Philadelphia","191046205","2158987293","Research Services","United States","Pennsylvania","PA",NA,NA,"wlabov@cis.upenn.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Hydrothermal Metals in Sediments and Oxide Deposits in the Famous Area","01/01/1975","12/31/1976","26300","Standard Grant","06040300","Directorate For Geosciences","Division Of Ocean Sciences","name not available","01/15/1975","06/29/1976","7500250","Martha","Scott","01/01/1975","Principal Investigator","Texas A&M University Main Campus","College Station","778454375","9798626777","400 Harvey Mitchell Pkwy South","United States","Texas","TX",NA,NA,"mscott@ocean.tamu.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","New Catalysts For Methanation","03/15/1975","08/31/1977","49000","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","03/05/1975","03/05/1975","7500254","Calvin","Bartholomew","03/15/1975","Principal Investigator","Brigham Young University","Provo","846021231","8014226177","A-285 ASB","United States","Utah","UT",NA,NA,"bartc@byu.edu",NA,NA,"1402","BIOCHEMICAL & BIOMASS ENG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Dynamics of Large Molecules","05/15/1975","10/31/1976","33700","Standard Grant","07020000","Directorate For Engineering","Div Of Chem, Bioeng, Env, & Transp Sys","name not available","05/06/1975","05/06/1975","7500256","Ziyaeddin","Akcasu","05/15/1975","Principal Investigator","University of Michigan Ann Arbor","Ann Arbor","481091274","7347636438","3003 South State St. Room 1062","United States","Michigan","MI","George","Summerfield",NA,"05/15/1975","Co-Principal Investigator","1407","Combustion & Fire Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Ocean Thermal Energy Conversion: Resource, Ecological and Environmental Studies (C1020)","05/18/1975","05/17/1976","92508","Contract","07000000","Directorate For Engineering","Directorate For Engineering","name not available","05/27/1975","06/02/1978","7500270","Paul","Wolff","05/18/1975","Principal Investigator","Ocean Data System Inc","Rockville","20852",NA,NA,"United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","An Investigation of Planning Requirements and Priorities of The Scientific and Technical Information Community","10/01/1974","03/31/1976","132300","Standard Grant","05020000","Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","10/01/1974","10/01/1974","7500273","Samuel","Beatty","10/01/1974","Co-Principal Investigator","American Society For Information Science","Washington","200365704","2026598135","1010 16th St NW","United States","District of Columbia","DC","Joshua","Smith",NA,"10/01/1974","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Ocean Thermal Energy Conversion: Legal Considerations","02/01/1975","07/31/1976","142400","Standard Grant","07000000","Directorate For Engineering","Directorate For Engineering","name not available","02/01/1975","01/20/1977","7500280","Robert","Stein","02/01/1975","Principal Investigator","American Society of Internat Law","Washington","200082813","2029396000","2223 Massachusett Avenue, NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Studies of Nuclear Structure and Nuclear Processes at Intermediate Energies","01/02/1975","01/31/1978","6091900","Standard Grant","03010300","Direct For Mathematical & Physical Scien","Division Of Physics","name not available","01/02/1975","07/27/1977","7500289","Robert","Bent","01/02/1975","Principal Investigator","Indiana University","Bloomington","474013654","8128550516","509 E 3RD ST","United States","Indiana","IN","Daniel","Miller","MILLER@IUCF","01/02/1975","Co-Principal Investigator","1278","INTERMEDIATE ENERGY",NA,NA,"pollock@iucf.indiana.edu","Robert","Pollock",NA,"01/02/1975","Co-Principal Investigator","Guy","Emery","01/02/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Energetics Study of the Atmospheric Circulation","12/01/1974","06/30/1978","366900","Standard Grant","06020200","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","01/16/1975","12/21/1976","7500290","Ernest","Kung","12/01/1974","Principal Investigator","University of Missouri-Columbia","COLUMBIA","652110001","5738827560","115 Business Loop 70 W","United States","Missouri","MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Mineralogical, Petrograhic, and Geochemical Investigation OfRocks From the Famous Area, Mid-Atlantic Ridge","02/01/1975","10/31/1977","89900","Standard Grant","06040300","Directorate For Geosciences","Division Of Ocean Sciences","name not available","01/21/1975","06/03/1976","7500294","Geoffrey","DATA NOT AVAILABLE","02/01/1975","Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE","025431041","5082893542","183 OYSTER POND ROAD","United States","Massachusetts","MA",NA,"Thompson","s.casso","02/01/1975","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Survey of Industrial Research and Development (Ca152)","07/01/1974","06/30/1975","109750","Interagency Agreement","04030103","Direct For Social, Behav & Economic Scie","National Center For S&E Statistics","name not available","10/03/1974","04/29/1975","7500313","Vincent","Barabba","07/01/1974","Principal Investigator","Bureau of the Census","Washington","20233",NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Cloud Model, Including Electrification and Turbulence","02/01/1975","01/31/1978","52200","Standard Grant","06020102","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","01/29/1975","05/26/1977","7500318",NA,"DATA NOT AVAILABLE","02/01/1975","Principal Investigator","New Mexico Institute of Mining and Technology","Socorro","878014681","5758355915","801 Leroy Place","United States","New Mexico","NM",NA,NA,NA,NA,NA,"1522","PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","The Automation of Scientific Inference: Heuristic ComputingApplied to Protein Crystallography","02/01/1975","07/31/1977","75000","Standard Grant","05010003","Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","01/21/1975","01/21/1975","7500320","Joseph","Kraut","02/01/1975","Principal Investigator","University of California-San Diego","La Jolla","920930621","8585344896","Office of Contract & Grant Admin","United States","California","CA",NA,NA,NA,NA,NA,"2823","INTELLIGENT SYSTEMS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Simulation of Processes in the Rhizosphere","05/01/1975","11/30/1978","117600","Standard Grant","05010003","Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","04/14/1975","10/20/1977","7500323","Jerry","Lambert","05/01/1975","Principal Investigator","Clemson University","CLEMSON","296340001","8646562424","230 Kappa Street","United States","South Carolina","SC",NA,NA,NA,NA,NA,"2823","INTELLIGENT SYSTEMS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","An Incremental Approach to Reliable Programming Language Translators","01/01/1976","06/30/1978","45500","Standard Grant","05010004","Direct For Computer & Info Scie & Enginr","Division of Computing and Communication Foundations","name not available","10/17/1975","10/17/1975","7500325","John","White","01/01/1976","Principal Investigator","University of Connecticut","Storrs","062691133","8604863622","438 Whitney Road Ext.","United States","Connecticut","CT",NA,NA,"white@acm.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Mechanisms of Organic Reactions","09/01/1974","03/31/1979","151800","Continuing grant","03090102","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","08/22/1974","04/27/1977","7500328","Paul","Bartlett","09/01/1974","Principal Investigator","Texas Christian University","Fort Worth","761290001","8172577516","2800 South University Drive","United States","Texas","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Static and Dynamic Structure Factor Studies of Dense Gases By Thermal Neutron Scattering","06/01/1975","02/28/1978","83700","Continuing grant","03090108","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","04/14/1975","06/09/1977","7500329","Sidney","Yip","06/01/1975","Co-Principal Investigator","Massachusetts Institute of Technology","Cambridge","021394301","6172531000","77 MASSACHUSETTS AVE","United States","Massachusetts","MA","Sow-Hsin","Chen","syip@mit.edu","06/01/1975","Principal Investigator","1918","CHEMICAL THERMODYNAMICS",NA,NA,"sowhsin@mit.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Infrared Optical Studies on Molecular Relaxation Processes In Liquids","11/01/1974","04/30/1978","168400","Continuing grant","03090106","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","11/11/1974","08/18/1976","7500330","Bryce","Crawford","11/01/1974","Principal Investigator","University of Minnesota-Twin Cities","Minneapolis","554552070","6126245599","200 OAK ST SE","United States","Minnesota","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Analytical Pulse Voltammetry","04/01/1975","12/31/1979","256035","Continuing grant","03090306","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","03/12/1975","01/16/1979","7500332","David","Natusch","04/01/1975","Principal Investigator","Colorado State University","Fort Collins","805232002","9704916355","601 S Howes St","United States","Colorado","CO",NA,NA,NA,NA,NA,"1936","CHEMICAL ANALYSIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Characterization of the Vibrational and Electronic StructurePf Catalytic Intermediates","02/01/1975","07/31/1977","79600","Standard Grant","03090108","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","02/20/1975","02/20/1975","7500334","W. Henry","Weinberg","02/01/1975","Principal Investigator","California Institute of Technology","PASADENA","911250600","6263956219","1200 E California Blvd","United States","California","CA",NA,NA,"whw@engineering.ucsb.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Nature of Molecular Rotation in Dense Phases","12/01/1974","05/31/1978","141300","Continuing grant","03090108","Direct For Mathematical & Physical Scien","Division Of Chemistry","name not available","11/18/1974","11/29/1976","7500335",NA,"DATA NOT AVAILABLE","12/01/1974","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK","168027000","8148651372","110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Growth Rhythms: a Means of Directly Determining the Rate of The Earth's Rotation in the Past","03/01/1975","08/31/1980","23000","Standard Grant","06030004","Directorate For Geosciences","Division Of Earth Sciences","name not available","03/18/1975","01/27/1978","7500345","Stanley","Runcorn","03/01/1975","Principal Investigator","University of Newcastle-England","Newcastle upon Tyne",NA,"1912824515","King's Gate","United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","The March Conference on Citizens, Media, and the Public Process","03/01/1975","08/31/1975","8000","Standard Grant","05000400","Direct For Computer & Info Scie & Enginr","Direct For Computer & Info Scie & Enginr","name not available","02/21/1975","02/21/1975","7500348","Atlee","Shidler","03/01/1975","Principal Investigator","Washington Center For Metropolitan Studies","Washington","20036",NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Theory of the Global Macroclimate","01/01/1975","06/30/1978","85700","Continuing grant","06020102","Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","12/23/1974","01/27/1977","7500351","Barry","Saltzman","01/01/1975","Principal Investigator","Yale University","New Haven","065208327","2037854689","Office of Sponsored Projects","United States","Connecticut","CT",NA,NA,NA,NA,NA,"1522","PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Development By Joseph Becker of Recommended Guidelines For ANational Scientific and Technical Information Program","12/05/1974","08/31/1976","101502","Contract","05020000","Direct For Computer & Info Scie & Enginr","Div Of Information & Intelligent Systems","name not available","12/05/1974","06/15/1976","7500376","Joseph","Becker","12/05/1974","Principal Investigator","Becker and Hayes Inc","Los Angeles","90049",NA,NA,"United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Personnel Mobility Assignment","08/01/1974","07/31/1977","24340","Standard Grant","01080100","Office Of The Director","Office of Planning and Assessment","name not available","08/05/1974","01/20/1975","7500377","Robert","Hughes","08/01/1974","Principal Investigator","Cornell University","Ithaca","148502820","6072555014","373 Pine Tree Road","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Support of Oceanographic Equipment","01/01/1975","06/30/1977","215100","Standard Grant","06040200","Directorate For Geosciences","Division Of Ocean Sciences","name not available","12/12/1974","03/18/1976","7500395","Richard","Redmond","01/01/1975","Principal Investigator","Oregon State University","Corvallis","973318507","5417374933","OREGON STATE UNIVERSITY","United States","Oregon","OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Support of Oceanographic Equipment","02/01/1975","01/31/1977","27000","Standard Grant","06040200","Directorate For Geosciences","Division Of Ocean Sciences","name not available","01/21/1975","06/29/1976","7500396","Patrick","Parker","02/01/1975","Co-Principal Investigator","University of Texas Marine Science Institute of Port Aransas","Port Aransas","78373",NA,NA,"United States","Texas","TX","Earl","Behrens","billb@mail.utexas.edu","02/01/1975","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
