"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.ProgramElement.Code.1","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.Investigator.FirstName.2","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.FirstName.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.4","Award.ProgramElement.Text.1","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.2","Award.ProgramElement.Text.2","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.ProgramReference.Code.1","Award.ProgramReference.Text.1","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.ProgramElement.Code.4","Award.ProgramElement.Text.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11"
"34",34,"Maintenance of a Salmonella Genetic Stock Center","04/01/1970","09/30/1977",40000,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","03/04/1970","04/16/1976",7000530,"Kenneth","Sanderson","04/01/1970","Principal Investigator","University of Calgary","Calgary",NA,4032109815,"2500 University Dr. NW","Canada",NA,NA,NA,NA,NA,NA,1112,"Genetic Mechanisms",1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LONG-TERM PROJCTS IN ENVIR BIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"Mechanism of Photosynthetic Phosphorylation","09/01/1970","08/31/1974",90000,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","07/31/1970","09/01/1972",7000543,"Clanton","Black","09/01/1970","Principal Investigator","University of Georgia","Athens","306021589",7065425939,"310 East Campus Rd","United States","Georgia","GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"Organization and Structure in Verbal Learning and Memory","08/04/1970","12/31/1977",133800,"Standard Grant",8090200,"Direct For Biological Sciences","Division Of Integrative Organismal Systems","name not available","08/04/1970","05/22/1975",7000560,"Donald","King","08/04/1970","Co-Principal Investigator","University of California-San Diego","La Jolla","920930621",8585344896,"Office of Contract & Grant Admin","United States","California","CA","George","Mandler","08/04/1970","Principal Investigator",1160,"IBN ANIMAL BEHAVIOR",NA,"LaRue","08/04/1970","Co-Principal Investigator","John","Neece","08/04/1970","Co-Principal Investigator","Sue","Tinsley","08/04/1970","Co-Principal Investigator","Brian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"Evaluation of Some Environmental Conditions Causing Algae Blooms","07/01/1970","06/30/1974",70700,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","05/22/1970","06/11/1974",7000568,"Sheldon","Aaronson","07/01/1970","Principal Investigator","CUNY Queens College","Flushing","113671575",7189975400,"65 30 Kissena Blvd","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"Control of Regeneration and Differentiation By Nerves","10/01/1970","09/30/1977",111200,"Standard Grant",8090100,"Direct For Biological Sciences","Division Of Integrative Organismal Systems","name not available","09/01/1970","09/05/1973",7000571,"Thomas","Lentz","10/01/1970","Principal Investigator","Yale University","New Haven","065208327",2037854689,"Office of Sponsored Projects","United States","Connecticut","CT",NA,NA,NA,NA,1111,"DEVELOPMENTAL SYSTEMS CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"Delayed Light Studies on Photosynthetic Energy Conversion","08/01/1970","01/31/1976",112000,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","08/26/1970","06/24/1975",7000597,"Walter","Bertsch","08/01/1970","Principal Investigator","CUNY Hunter College","New York","100655024",2127724020,"695 Park Avenue","United States","New York","NY",NA,NA,NA,NA,1144,"Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"Trophicdynamics of Thermal Spring Ecosystems","07/01/1970","06/30/1976",208100,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","07/14/1970","03/28/1974",7000616,"Richard","Wiegert","07/01/1970","Principal Investigator","University of Georgia","Athens","306021589",7065425939,"310 East Campus Rd","United States","Georgia","GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"Control Mechanisms of the Endocrine Target Tissues","08/01/1970","06/30/1977",86000,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","07/15/1970","10/13/1976",7000632,"Phil","Squire","08/01/1970","Principal Investigator","Colorado State University","Fort Collins","805232002",9704916355,"601 S Howes St","United States","Colorado","CO",NA,NA,NA,NA,1144,"Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"Membrane Function in Energy Flow in Chloroplasts","09/01/1970","08/31/1977",53700,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","07/28/1970","08/16/1973",7000633,"John","DATA NOT AVAILABLE","09/01/1970","Principal Investigator","Yale University","New Haven","065208327",2037854689,"Office of Sponsored Projects","United States","Connecticut","CT","Brian","DATA NOT AVAILABLE","09/01/1970","Co-Principal Investigator",1144,"Molecular Biophysics",NA,"LaRue","09/01/1970","Co-Principal Investigator","Roland","Tinsley","09/01/1970","Co-Principal Investigator",NA,"Ure","09/01/1970","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"Assembly of Microtubules and the Development of Pattern","09/01/1970","08/31/1974",124200,"Standard Grant",8090100,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","08/20/1970","01/16/1974",7000669,"Lewis","Tilney","09/01/1970","Principal Investigator","University of Pennsylvania","Philadelphia","191046205",2158987293,"Research Services","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,"Conservation of Ecosystems","07/01/1970","11/30/1974",260400,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","05/25/1970","04/23/1974",7000674,"John","LaRue","07/01/1970","Co-Principal Investigator","American Institute of Biological Sciences","McLean","221013926",7036742500,"1313 Dolley Madison Blvd.","United States","Virginia","VA","Ruth","Satter","07/01/1970","Co-Principal Investigator",NA,NA,NA,"Gillham","07/01/1970","Co-Principal Investigator","Nicholas","Darnell","07/01/1970","Principal Investigator","Rezneat","Tinsley","07/01/1970","Co-Principal Investigator","Brian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"Role of Three Cytoplasmic Fibers in Cell Motility","08/11/1970","08/31/1972",37600,"Standard Grant",8090100,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","08/11/1970","08/11/1970",7000702,"Robert","Goldman","08/11/1970","Principal Investigator","Case Western Reserve University","CLEVELAND","441064901",2163684510,"Nord Hall, Suite 615","United States","Ohio","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"Collaborative Research on Hawaii Terrestrial Biology Subprogram","05/15/1970","08/31/1976",959200,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","06/18/1970","03/16/1976",7000709,"Andrew","Erger","05/15/1970","Co-Principal Investigator","University of Hawaii","HONOLULU","968222234",8089567800,"2440 Campus Road, Box 368","United States","Hawaii","HI","Dieter","Mueller-Dombois","05/15/1970","Principal Investigator",1128,"POP & COMMUNITY ECOL CLUSTER",5720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OCEAN DRILLING PROGRAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"Inducible Galactose Transport System of Saccharomyces","12/01/1970","05/31/1976",85000,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","11/02/1970","12/02/1975",7000755,"Vincent","DATA NOT AVAILABLE","12/01/1970","Principal Investigator","SUNY at Stony Brook","Stony Brook","117940001",6316329949,"WEST 5510 FRK MEL LIB","United States","New York","NY",NA,"Cirillo","12/01/1970","Co-Principal Investigator",1144,"Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,"Tropical Forest Litter Communities","08/20/1970","09/30/1973",45000,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","08/20/1970","08/20/1970",7000758,"Wayne","Vernon","08/20/1970","Co-Principal Investigator","University of Miami","CORAL GABLES","331462926",3052843924,"1320 S. Dixie Highway Suite 650","United States","Florida","FL","John","LaRue","08/20/1970","Co-Principal Investigator",NA,NA,NA,"Satter","08/20/1970","Co-Principal Investigator","Ruth","Lloyd","08/20/1970","Principal Investigator","Monte","Tinsley","08/20/1970","Co-Principal Investigator","Brian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"Endocrine and Experiential Determinants of Maternal Behavior","09/01/1970","08/31/1972",45000,"Standard Grant",8090200,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","08/21/1970","08/21/1970",7000761,NA,"DATA NOT AVAILABLE","09/01/1970","Principal Investigator","University of Chicago","Chicago","606375418",7737028669,"5801 South Ellis Avenue","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"Structure and Function of Algal Biliproteins","11/01/1970","09/30/1975",86503,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","10/06/1970","05/15/1975",7000786,"Donald","Berns","11/01/1970","Principal Investigator","Health Research Incorporated/New York State Department of Health","Menands","122042719",5184311200,"150 Broadway, Suite 560","United States","New York","NY",NA,NA,NA,NA,1144,"Molecular Biophysics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"Fluorescence Perturbation and Fluorescence Polarization Studies of Protein Conformation and Protein Interactions","04/01/1971","03/31/1977",88000,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","04/14/1971","10/05/1973",7000787,"John","LaRue","04/01/1971","Co-Principal Investigator","Boston Biomedical Research Institute","Watertown","024722829",6179268040,"64 Grove Street","United States","Massachusetts","MA","Ruth","Satter","04/01/1971","Co-Principal Investigator",NA,NA,NA,"Lehrer","04/01/1971","Principal Investigator","Sherwin","Nahas","04/01/1971","Co-Principal Investigator","Gabriel","Tinsley","04/01/1971","Co-Principal Investigator","Brian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"Complex Discrimination Processes","08/12/1970","08/31/1973",84100,"Continuing grant",8090200,"Direct For Biological Sciences","Division Of Integrative Organismal Systems","name not available","08/12/1970","08/12/1970",7000792,"John","LaRue","08/12/1970","Co-Principal Investigator","Rutgers University New Brunswick","Piscataway","088543925",8489320150,"33 Knightsbridge Road","United States","New Jersey","NJ","Ruth","Satter","08/12/1970","Co-Principal Investigator",1160,"IBN ANIMAL BEHAVIOR",NA,"D'Amato","08/12/1970","Principal Investigator","Michael","Tinsley","08/12/1970","Co-Principal Investigator","Brian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"Sodium Pump of the Squid Axon","10/15/1970","10/31/1972",30000,"Standard Grant",8070400,"Directorate for Biological Sciences","Division of Molecular and Cellular Biosciences","name not available","10/13/1970","10/13/1970",7000807,"John","LaRue","10/15/1970","Co-Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,"Ruth","Satter","10/15/1970","Co-Principal Investigator",1144,"Molecular Biophysics",NA,"Mullins","10/15/1970","Principal Investigator","L.","Nahas","10/15/1970","Co-Principal Investigator","Gabriel","Tinsley","10/15/1970","Co-Principal Investigator","Brian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,"Pleistocene Spring Deposits","02/01/1971","08/31/1977",105000,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","01/12/1971","03/24/1977",7000819,"James","King","02/01/1971","Principal Investigator","Illinois State Museum Society","Springfield","627065000",2177826092,"502 S. Spring","United States","Illinois","IL",NA,NA,NA,NA,1128,"POP & COMMUNITY ECOL CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"Taxonomic Treatment of Diatoms of the United States","08/24/1970","02/28/1973",45600,"Continuing grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","08/24/1970","08/24/1970",7000841,"Ruth","Satter","08/24/1970","Co-Principal Investigator","Academy of Natural Sciences Philadelphia","Philadelphia","191031195",2152991065,"1900 Benjamin Franklin Parkway","United States","Pennsylvania","PA","Ruth","Patrick","08/24/1970","Principal Investigator",1127,"EVOLUTIONARY PROCESSES CLUSTER",NA,"Tinsley","08/24/1970","Co-Principal Investigator","Brian","LaRue","08/24/1970","Co-Principal Investigator","John",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,"Determinants of Pathogenicity From Plant Infecting Fungi","01/01/1971","11/30/1976",104000,"Standard Grant",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Sys","name not available","11/06/1970","02/12/1976",7000847,"Robert","Scheffer","01/01/1971","Principal Investigator","Michigan State University","East Lansing","488242600",5173555040,"Office of Sponsored Programs","United States","Michigan","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,"Systematics of the Cephalopods","09/01/1970","08/31/1975",21900,"Continuing grant",8010207,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","08/05/1970","08/05/1970",7000851,NA,"DATA NOT AVAILABLE","09/01/1970","Principal Investigator","University of Miami Rosenstiel School of Marine&Atmospheric Sci","KEY BISCAYNE","331491031",3054214089,"4600 RICKENBACKER CSWY","United States","Florida","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"Cellular Resistance to Spread of Tobacco Mosaic Virus","11/01/1970","06/30/1974",19500,"Standard Grant",8090300,"Direct For Biological Sciences","Division Of Integrative Organismal Systems","name not available","09/01/1970","09/01/1970",7000855,"Jia-Hsi","Wu","11/01/1970","Principal Investigator","California State Polytechnic University-Pomona","Pomona","917682557",9098692944,"3801 W Temple Avenue","United States","California","CA",NA,NA,NA,NA,1141,"PHYSIOLOG & STRUCTURAL SYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,"Developmental Aspects of Spore Germination and Capsule Expansion","09/01/1970","08/31/1972",32200,"Standard Grant",8000000,"Direct For Biological Sciences","Direct For Biological Sciences","name not available","08/31/1970","08/31/1970",7000868,"Dominick","Paolillo","09/01/1970","Principal Investigator","Cornell University","Ithaca","148502820",6072555014,"373 Pine Tree Road","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,"Gene-Enzyme Interactions in Bacteria","12/01/1970","05/31/1976",79400,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","12/02/1970","12/15/1975",7000898,"Joseph","Gots","12/01/1970","Principal Investigator","University of Pennsylvania","Philadelphia","191046205",2158987293,"Research Services","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"Nucleoside Phosphotransferases and Their Regulatory Functions in Nucleic Acid Metabolism","02/01/1971","07/31/1976",64000,"Standard Grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","01/18/1971","06/16/1975",7000913,"Erwin","Chargaff","02/01/1971","Principal Investigator","Columbia University","NEW YORK","100276902",2128546851,"2960 Broadway","United States","New York","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"Ecology of Forest Soil Diplopada","08/11/1970","08/31/1973",15200,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","08/11/1970","11/01/1972",7000915,"William","Dowdy","08/11/1970","Principal Investigator","Lincoln University","Jefferson City","651020029",5736815062,"820 Chestnut","United States","Missouri","MO",NA,NA,NA,NA,1128,"POP & COMMUNITY ECOL CLUSTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"Comparative Ecological Study of Tropical Lowland Forest Communities","09/15/1970","09/30/1974",676100,"Standard Grant",8010208,"Direct For Biological Sciences","Division Of Environmental Biology","name not available","09/14/1970","10/01/1972",7000923,"Jack","Spencer","09/15/1970","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,"Stephen","Harrison","09/15/1970","Co-Principal Investigator",1128,"POP & COMMUNITY ECOL CLUSTER",NA,"Tinsley","09/15/1970","Co-Principal Investigator","Brian","Stermitz","09/15/1970","Co-Principal Investigator","Frank","LaRue","09/15/1970","Co-Principal Investigator","John",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"Initial Events in the Transfer of Genetic Information","02/01/1971","01/31/1974",20000,"Continuing grant",8070400,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","01/21/1971","01/21/1971",7000930,"Andrew","Pettifor","02/01/1971","Principal Investigator","University of Colorado at Denver","Aurora","800452570",3037240090,"MS F428, AMC Bldg 500","United States","Colorado","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,"Ovarian Function","01/01/1971","12/31/1972",25000,"Standard Grant",8090300,"Directorate for Biological Sciences","Division of Integrative Organismal Systems","name not available","12/18/1970","12/18/1970",7000986,NA,"DATA NOT AVAILABLE","01/01/1971","Principal Investigator","DATA NOT AVAILABLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1141,"PHYSIOLOG & STRUCTURAL SYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,"The Lac Repressor-Operator Interaction","02/01/1971","01/31/1975",71300,"Standard Grant",8070100,"Direct For Biological Sciences","Div Of Molecular and Cellular Bioscience","name not available","01/14/1971","02/01/1973",7000992,"Arthur","Riggs","02/01/1971","Principal Investigator","City of Hope National Med Center","Duarte","910103012",NA,"1500 E. Duarte Road","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"Contract For U.S.N.S. Eltanin Operations and Maintenance","08/01/1969","02/28/1977",6824603,"Interagency Agreement",7000000,"Directorate For Engineering","Directorate For Engineering","name not available","08/01/1969","08/04/1976",7001006,"L.","Butts","08/01/1969","Principal Investigator","Department of Navy Military Sea Transport Service","Arlington","20350",NA,NA,"United States","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,"Contract For Overhaul G.E. T64010 Turboprop Engine For Buffalo Aircraft","10/01/1969","09/30/1971",45100,"Interagency Agreement",3020100,"Directorate for Mathematical & Physical Sciences","Division of Astronomical Sciences","name not available","10/31/1969","04/09/1973",7001007,"Jeremy","Taylor","10/01/1969","Principal Investigator","Department of Navy Air Systems Command","Washington","20360",NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,0,"UNASSIGNED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,"Contract For Semi-Annual Payments on Land Use Agreement (Contract No 14-06-420-861) With the Bureau of Reclamation","11/25/1969","06/30/1999",200,"Interagency Agreement",3020100,"Direct For Mathematical & Physical Scien","Division Of Astronomical Sciences","name not available","11/25/1969","11/25/1969",7001008,"Jeremy","Taylor","11/25/1969","Principal Investigator","Bureau of Reclamation","Washington","20240",NA,NA,"United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
