"","X","Award.AwardTitle","Award.AwardEffectiveDate","Award.AwardExpirationDate","Award.AwardAmount","Award.AwardInstrument.Value","Award.Organization.Code","Award.Organization.Directorate.LongName","Award.Organization.Division.LongName","Award.ProgramOfficer.SignBlockName","Award.MinAmdLetterDate","Award.MaxAmdLetterDate","Award.AwardID","Award.Investigator.FirstName","Award.Investigator.LastName","Award.Investigator.StartDate","Award.Investigator.RoleCode","Award.Institution.Name","Award.Institution.CityName","Award.Institution.ZipCode","Award.Institution.PhoneNumber","Award.Institution.StreetAddress","Award.Institution.CountryName","Award.Institution.StateName","Award.Institution.StateCode","Award.ProgramElement.Code","Award.ProgramElement.Text","Award.Investigator.FirstName.1","Award.Investigator.LastName.1","Award.Investigator.StartDate.1","Award.Investigator.RoleCode.1","Award.Investigator.FirstName.2","Award.Investigator.LastName.2","Award.Investigator.StartDate.2","Award.Investigator.RoleCode.2","Award.ProgramElement.Code.1","Award.ProgramElement.Code.2","Award.ProgramElement.Text.1","Award.Investigator.LastName.3","Award.Investigator.StartDate.3","Award.Investigator.RoleCode.3","Award.Investigator.LastName.4","Award.Investigator.StartDate.4","Award.Investigator.RoleCode.4","Award.Investigator.FirstName.3","Award.ProgramReference.Code","Award.ProgramReference.Text","Award.Investigator.FirstName.4","Award.ProgramElement.Text.2","Award.ProgramElement.Code.3","Award.ProgramElement.Text.3","Award.FoaInformation.Code","Award.FoaInformation.Name","Award.FoaInformation.Code.1","Award.FoaInformation.Name.1","Award.FoaInformation.Code.2","Award.FoaInformation.Name.2","Award.FoaInformation.Code.3","Award.FoaInformation.Name.3","Award.ProgramElement.Code.4","Award.ProgramElement.Code.5","Award.ProgramElement.Code.6","Award.ProgramElement.Code.7","Award.ProgramElement.Code.8","Award.ProgramElement.Code.9","Award.ProgramElement.Code.10","Award.ProgramElement.Code.11","Award.ProgramElement.Code.12","Award.ProgramElement.Text.4","Award.ProgramElement.Code.13","Award.ProgramElement.Text.5","Award.ProgramElement.Code.14","Award.ProgramElement.Text.6","Award.ProgramElement.Code.15","Award.ProgramElement.Text.7","Award.ProgramElement.Code.16","Award.ProgramElement.Text.8","Award.Institution.Name.1","Award.Institution.Name.2","Award.Institution.Name.3","Award.Institution.Name.4","Award.Institution.Name.5","Award.Institution.Name.6"
"32",32,"A Diagnostic Study of Cumulus Cloud Populations","09/01/1973","10/31/1978",449100,"Standard Grant",6020107,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","09/07/1973","05/19/1977",7300238,"Yoshimitsu","Ogura","09/01/1973","Principal Investigator","University of Illinois at Urbana-Champaign","CHAMPAIGN",618207473,2173332187,"SUITE A","United States","Illinois","IL",2391,"GLOBAL ATMOSPHERIC RESEARCH",NA,NA,NA,NA,NA,NA,NA,NA,4829,5730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"Structural Characterization of Minerals By Raman SpectroscoPy","09/01/1973","03/31/1978",100400,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","08/21/1973","10/14/1975",7300243,"William","White","09/01/1973","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK",168027000,8148651372,"110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"Trace Element Microdistributions in Meteorites","09/01/1973","09/30/1977",149100,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","08/14/1973","05/06/1976",7300245,"Donald","Burnett","09/01/1973","Principal Investigator","California Institute of Technology","PASADENA",911250600,6263956219,"1200 E California Blvd","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"P-V-T-X Relations in Aqueous Chloride Solutions To10 KilobarS and 1000 Degrees C","09/01/1973","02/28/1979",214900,"Continuing grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","08/22/1973","08/11/1977",7300247,"C Wayne","Burnham","09/01/1973","Principal Investigator","Pennsylvania State Univ University Park","UNIVERSITY PARK",168027000,8148651372,"110 Technology Center Building","United States","Pennsylvania","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"Partitioning and Diffusion Kinetics of Trace Elements IN Mantle Related Mineral Melt Systems","09/01/1973","10/31/1977",66000,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","08/20/1973","03/09/1977",7300255,"Albrecht","Hofmann","09/01/1973","Principal Investigator","Carnegie Institution of Washington","WASHINGTON",200051910,2023876400,"1530 P ST NW","United States","District of Columbia","DC",NA,NA,"Stanley","Hart","09/01/1973","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"Geochemistry and Petrogenesis of the Early PrecambriaN Rocks of the Minnesota River Valley","09/01/1973","12/31/1976",83100,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","09/18/1973","10/09/1975",7300261,"Samuel","Goldich","09/01/1973","Principal Investigator","Northern Illinois University","De Kalb",601152860,8157531581,"301 Lowden Hall","United States","Illinois","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"Electron Microprobe Study of the Serrania De La Ronda High Temperature Peridotite Intrusion","12/01/1973","06/30/1977",79900,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","11/23/1973","03/17/1975",7300264,"John","Dickey","12/01/1973","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",1541,"GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"The Role of Co2 in Generation of Basalt in the Upper Mantle","09/01/1973","02/28/1978",107000,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","08/20/1973","09/15/1975",7300266,"David","Eggler","09/01/1973","Principal Investigator","Carnegie Institution of Washington","WASHINGTON",200051910,2023876400,"1530 P ST NW","United States","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"Gases in Rocks and Minerals","10/01/1973","07/31/1976",45700,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","09/28/1973","01/29/1975",7300278,"Colin","Barker","10/01/1973","Principal Investigator","University of Tulsa","Tulsa",741049700,9186312192,"800 S. Tucker Drive","United States","Oklahoma","OK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"Ionospheric Physics","08/01/1973","02/28/1978",200000,"Standard Grant",6020201,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","08/17/1973","09/24/1975",7300302,"John","Mathews","08/01/1973","Principal Investigator","Case Western Reserve University","CLEVELAND",441064901,2163684510,"Nord Hall, Suite 615","United States","Ohio","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"Research on the Geodynamo","10/01/1973","12/31/1977",102200,"Standard Grant",6030004,"Directorate For Geosciences","Division Of Earth Sciences","name not available","09/18/1973","07/01/1976",7300311,"M.","Proctor","10/01/1973","Co-Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",1543,"GEOPHYSICS","Willem","Malkus","10/01/1973","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"Solar Neutron and Gamma-Ray Detector","01/01/1974","06/30/1977",128200,"Standard Grant",6020203,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","01/25/1974","02/11/1976",7300315,"R.Stephen","White","01/01/1974","Principal Investigator","University of California-Riverside","RIVERSIDE",925211000,9518275535,"Office of Research","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,"Racemization Reaction of Amino Acids and Its Use in Dating Fossil Materials","10/15/1973","09/30/1977",117900,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","10/15/1973","04/05/1976",7300320,"Joseph","Baird","10/15/1973","Principal Investigator","University of California-San Diego Scripps Inst of Oceanography","LA JOLLA",920930210,8585341293,"8602 La Jolla Shores Dr","United States","California","CA",1541,"GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"Effect of Beam-Plasma Interactions in Hi-Latitude Ionosphere","12/01/1973","06/30/1978",119700,"Standard Grant",6020201,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","11/13/1973","02/23/1977",7300322,"Ernest","Fontheim","12/01/1973","Principal Investigator","University of Michigan Ann Arbor","Ann Arbor",481091274,7347636438,"3003 South State St. Room 1062","United States","Michigan","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"Inconstant Geomagnetic Field","11/01/1973","05/31/1977",40700,"Standard Grant",6020203,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","11/05/1973","05/03/1976",7300327,"David","Beard","11/01/1973","Principal Investigator","University of Kansas Main Campus","Lawrence",660457563,7858643441,"2385 Irving Hill Road","United States","Kansas","KS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"Quantitative Estimation of Deformation Paths in Folded CarboNate Rocks of the Blue Ridge Province Central Appalachians","01/01/1974","12/31/1976",14700,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","10/24/1973","12/24/1975",7300335,"John","Wickham","01/01/1974","Principal Investigator","Oklahoma State University","Stillwater",740781011,4057449995,"101 WHITEHURST HALL","United States","Oklahoma","OK",1542,"GEOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,"Research Toward a New Statistical Theory of Scattering","01/01/1974","03/31/1977",58200,"Standard Grant",6020201,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","01/28/1974","02/17/1976",7300343,"Cynthia","Whitney","01/01/1974","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",1521,"AERONOMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"Zonal Study of the Atlantic Equatorial UndercurreNt","09/01/1973","08/31/1977",235200,"Standard Grant",6020107,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","08/29/1973","03/11/1977",7300344,"Eli","Katz","09/01/1973","Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE",25431041,5082893542,"183 OYSTER POND ROAD","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"Study of Ionic Interactions in Seawater","11/15/1973","07/16/1977",244900,"Standard Grant",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","10/02/1973","02/14/1977",7300351,"Frank","Millero","11/15/1973","Principal Investigator","University of Miami Rosenstiel School of Marine&Atmospheric Sci","KEY BISCAYNE",331491031,3054214089,"4600 RICKENBACKER CSWY","United States","Florida","FL",1612,"MARINE CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,1671,NA,"OCEANIC CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"Dissolution and Precipitation Kinetics and Surfacechemistry Of Calcium Carbonate in Sea Water","09/01/1973","08/31/1977",66900,"Standard Grant",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","08/06/1973","07/26/1976",7300365,"Robert","Berner","09/01/1973","Principal Investigator","Yale University","New Haven",65208327,2037854689,"Office of Sponsored Projects","United States","Connecticut","CT",1612,"MARINE CHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"Stratigraphic Study of Microscopic Skeletal Debrisof Fishes, in Pelagic Sediments","09/01/1973","05/31/1977",103100,"Standard Grant",6040304,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","08/16/1973","11/28/1975",7300367,"William","Riedel","09/01/1973","Principal Investigator","University of California-San Diego Scripps Inst of Oceanography","LA JOLLA",920930210,8585341293,"8602 La Jolla Shores Dr","United States","California","CA",1621,"SUBMARINE GEOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"High-Resolution Spectroscopic Studies in Aeronomy","09/01/1973","04/30/1978",145000,"Standard Grant",6020201,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","08/24/1973","11/17/1975",7300374,"Fred","Roesler","09/01/1973","Principal Investigator","University of Wisconsin-Madison","MADISON",537151218,6082623822,"21 North Park Street","United States","Wisconsin","WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,"Metamorphic Fluids","01/01/1974","07/31/1977",120400,"Continuing grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","12/28/1973","03/02/1976",7300391,"Hans","Eugster","01/01/1974","Principal Investigator","Johns Hopkins University","Baltimore",212182608,4105168668,"3400 N CHARLES ST","United States","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"Secular Climatic History of the Rocky Mountain Area","09/01/1973","01/31/1977",31400,"Standard Grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","09/10/1973","07/27/1976",7300399,"Roger","Barry","09/01/1973","Principal Investigator","University of Colorado at Boulder","Boulder",803031058,3034926221,"3100 Marine Street, Room 481","United States","Colorado","CO",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,"Biostratigraphic and Paleoecologic Implications OfphytoplankTon Abundance and Diversity","09/01/1973","02/28/1978",39700,"Standard Grant",6030003,"Directorate For Geosciences","Division Of Earth Sciences","name not available","09/07/1973","03/01/1977",7300405,"Helen","Tappan","09/01/1973","Principal Investigator","University of California-Los Angeles","LOS ANGELES",900951406,3107940102,"10889 Wilshire Boulevard","United States","California","CA",1542,"GEOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,"Microphysics and Modeling of Mixed-Phase Winter Clouds","09/01/1973","09/30/1977",98900,"Continuing grant",6020102,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","08/17/1973","05/18/1976",7300410,"James","Jiusto","09/01/1973","Principal Investigator","SUNY at Albany","Albany",122220100,5184374550,"1400 WASHINGTON AVE","United States","New York","NY",1522,"PHYSICAL METEOROLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"Boundary Layer and Frontal Zone Structure Over Theeast China Sea","10/01/1973","09/30/1977",86700,"Standard Grant",6020107,"Directorate For Geosciences","Div Atmospheric & Geospace Sciences","name not available","09/05/1973","03/24/1977",7300421,"Andrew","Bunker","10/01/1973","Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE",25431041,5082893542,"183 OYSTER POND ROAD","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,"Physical Oceanography and Geophysical Fluid Dynamics","11/01/1973","04/30/1978",140800,"Continuing grant",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","10/04/1973","06/03/1977",7300424,"George","Veronis","11/01/1973","Principal Investigator","Yale University","New Haven",65208327,2037854689,"Office of Sponsored Projects","United States","Connecticut","CT",1611,"OCEAN PHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,"Global Tectonic Synthesis From the Spectral Analysis of SeisMic Waves","11/01/1973","04/30/1978",124800,"Standard Grant",6030004,"Directorate For Geosciences","Division Of Earth Sciences","name not available","10/03/1973","10/17/1975",7300425,"Keiiti","Aki","11/01/1973","Principal Investigator","Massachusetts Institute of Technology","Cambridge",21394301,6172531000,"77 MASSACHUSETTS AVE","United States","Massachusetts","MA",1543,"GEOPHYSICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"Contribution of Pelagic Larval Dispersalto Geographical Range and Gene-Flow Between Populations of Marine Shoalwater Benthic Invertebrate Species","08/15/1973","03/31/1979",169600,"Standard Grant",6040301,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","08/15/1973","11/10/1976",7300439,"Rudolf","Scheltema","08/15/1973","Principal Investigator","Woods Hole Oceanographic Institution","WOODS HOLE",25431041,5082893542,"183 OYSTER POND ROAD","United States","Massachusetts","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"Seismic Activity of the Cascade Volcanoes","01/01/1974","11/30/1977",100000,"Standard Grant",6030004,"Directorate For Geosciences","Division Of Earth Sciences","name not available","01/08/1974","05/21/1976",7300458,"Stephen","Malone","01/01/1974","Principal Investigator","University of Washington","Seattle",981950001,2065434043,"4333 Brooklyn Ave NE","United States","Washington","WA",1543,"GEOPHYSICS","Stewart","Smith","01/01/1974","Co-Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"Effect of Titanium on Phlogopite Stability Limits and the RoLe of Ti-Phlogopite in Basalt Genesis","12/01/1973","02/15/1977",35700,"Standard Grant",6030002,"Directorate For Geosciences","Division Of Earth Sciences","name not available","11/26/1973","11/26/1973",7300460,"Warren","Forbes","12/01/1973","Principal Investigator","University of Illinois at Chicago","Chicago",606124305,3129962862,"809 S MARSHFIELD","United States","Illinois","IL",1541,"GEOCHEMISTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"Investigating Velocity in Rocks Under Shear and Triaxial DEformation","10/15/1973","03/31/1977",76000,"Standard Grant",6030004,"Directorate For Geosciences","Division Of Earth Sciences","name not available","10/04/1973","10/03/1975",7300477,"Chi-Yuen","Wang","10/15/1973","Principal Investigator","University of California-Berkeley","BERKELEY",947045940,5106428109,"Sponsored Projects Office","United States","California","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,"Identification of Phosphonic Acids in Seawater","09/01/1973","10/31/1976",25000,"Standard Grant",6040303,"Directorate For Geosciences","Division Of Ocean Sciences","name not available","08/08/1973","09/13/1976",7300479,"Judith","Harris","09/01/1973","Co-Principal Investigator","Harvard University","Cambridge",21385366,6174955501,"1033 MASSACHUSETTS AVE","United States","Massachusetts","MA",NA,NA,"James","Butler","09/01/1973","Principal Investigator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
